hospital_id,category_id
32,1
72,1
107,1
155,1
164,1
276,1
300,1
398,1
399,1
447,1
460,1
479,1
518,1
540,1
555,1
556,1
557,1
564,1
566,1
574,1
725,1
764,1
823,1
837,1
886,1
1049,1
1145,1
1174,1
1533,1
1678,1
1787,1
1871,1
1890,1
1943,1
1982,1
2131,1
2256,1
2332,1
2,2
7,2
19,2
21,2
32,2
36,2
43,2
59,2
60,2
68,2
72,2
80,2
107,2
109,2
121,2
148,2
155,2
160,2
164,2
166,2
194,2
199,2
212,2
213,2
229,2
233,2
244,2
311,2
317,2
340,2
350,2
358,2
395,2
437,2
446,2
464,2
481,2
557,2
563,2
564,2
567,2
574,2
591,2
622,2
627,2
640,2
645,2
674,2
692,2
695,2
696,2
701,2
725,2
787,2
811,2
823,2
844,2
847,2
855,2
871,2
890,2
894,2
909,2
910,2
914,2
916,2
917,2
944,2
959,2
974,2
1036,2
1052,2
1066,2
1069,2
1097,2
1108,2
1118,2
1126,2
1127,2
1145,2
1160,2
1169,2
1170,2
1174,2
1207,2
1532,2
1600,2
1602,2
1614,2
1633,2
1648,2
1670,2
1761,2
1765,2
1768,2
1806,2
1828,2
1832,2
1840,2
1842,2
1856,2
1863,2
1866,2
1867,2
1871,2
1876,2
1887,2
1892,2
1900,2
1908,2
1918,2
1923,2
1932,2
1949,2
1975,2
1982,2
1993,2
1995,2
2016,2
2022,2
2042,2
2049,2
2062,2
2064,2
2082,2
2100,2
2109,2
2125,2
2131,2
2151,2
2164,2
2167,2
2185,2
2190,2
2194,2
2198,2
2207,2
2246,2
2256,2
2279,2
2302,2
2321,2
2335,2
2340,2
2343,2
2355,2
2,3
5,3
7,3
8,3
19,3
31,3
32,3
36,3
40,3
43,3
59,3
60,3
64,3
68,3
72,3
80,3
86,3
89,3
92,3
107,3
109,3
110,3
115,3
120,3
121,3
127,3
134,3
145,3
148,3
152,3
155,3
158,3
160,3
161,3
162,3
163,3
164,3
166,3
167,3
176,3
179,3
194,3
199,3
207,3
212,3
213,3
216,3
229,3
237,3
243,3
244,3
259,3
275,3
276,3
288,3
293,3
300,3
301,3
302,3
303,3
305,3
311,3
317,3
326,3
340,3
345,3
357,3
358,3
376,3
395,3
417,3
420,3
428,3
430,3
437,3
439,3
445,3
446,3
447,3
452,3
457,3
458,3
460,3
461,3
462,3
464,3
471,3
480,3
481,3
490,3
497,3
517,3
522,3
527,3
533,3
540,3
556,3
557,3
563,3
564,3
567,3
587,3
588,3
591,3
601,3
602,3
604,3
606,3
614,3
619,3
622,3
625,3
1,3
633,3
652,3
666,3
669,3
673,3
695,3
696,3
701,3
708,3
725,3
740,3
749,3
754,3
760,3
764,3
787,3
793,3
796,3
797,3
799,3
806,3
811,3
813,3
823,3
824,3
828,3
836,3
837,3
844,3
847,3
855,3
857,3
871,3
890,3
894,3
895,3
899,3
900,3
902,3
903,3
907,3
908,3
909,3
910,3
914,3
915,3
916,3
917,3
932,3
934,3
939,3
954,3
959,3
961,3
974,3
977,3
1010,3
1029,3
1036,3
1040,3
1052,3
1057,3
1065,3
1066,3
1069,3
1070,3
1076,3
1086,3
1088,3
1097,3
1108,3
1118,3
1119,3
1126,3
1127,3
1145,3
1146,3
1148,3
1152,3
1154,3
1160,3
1162,3
1169,3
1170,3
1174,3
1180,3
1187,3
1189,3
1194,3
1200,3
1207,3
1211,3
1532,3
1533,3
1545,3
1551,3
1572,3
1573,3
1575,3
1600,3
1602,3
1610,3
1612,3
1614,3
1632,3
1633,3
1637,3
1642,3
1648,3
1653,3
1655,3
1657,3
1662,3
1668,3
1670,3
1761,3
1764,3
1765,3
1766,3
1768,3
1781,3
1787,3
1789,3
1790,3
1791,3
1806,3
1814,3
1824,3
1832,3
1839,3
1840,3
1842,3
1844,3
1854,3
1856,3
1863,3
1866,3
1867,3
1876,3
1878,3
1880,3
1891,3
1892,3
1894,3
1900,3
1903,3
1908,3
1915,3
1918,3
1921,3
1923,3
1926,3
1928,3
1932,3
1935,3
1938,3
1941,3
1946,3
1961,3
1962,3
1963,3
1971,3
1975,3
1977,3
1978,3
1980,3
1982,3
1985,3
1992,3
1993,3
1995,3
1996,3
2022,3
2042,3
2049,3
2051,3
2059,3
2062,3
2064,3
2066,3
2067,3
2073,3
2080,3
2082,3
2091,3
2100,3
2102,3
2125,3
2127,3
2128,3
2131,3
2138,3
2140,3
2146,3
2164,3
2167,3
2175,3
2185,3
2190,3
2194,3
2198,3
2201,3
2202,3
2203,3
2210,3
2234,3
2246,3
2251,3
2253,3
2254,3
2256,3
2279,3
2302,3
2310,3
2313,3
2321,3
2325,3
2330,3
2332,3
2335,3
2340,3
2343,3
2353,3
2355,3
11,4
23,4
31,4
32,4
36,4
44,4
52,4
53,4
54,4
67,4
72,4
86,4
91,4
92,4
93,4
95,4
102,4
107,4
110,4
122,4
131,4
132,4
145,4
159,4
160,4
164,4
166,4
167,4
188,4
199,4
206,4
209,4
212,4
213,4
222,4
243,4
244,4
259,4
261,4
266,4
267,4
274,4
276,4
279,4
293,4
298,4
299,4
300,4
301,4
306,4
307,4
311,4
318,4
332,4
340,4
358,4
360,4
368,4
387,4
394,4
398,4
400,4
401,4
403,4
404,4
407,4
430,4
446,4
447,4
449,4
450,4
460,4
462,4
481,4
490,4
515,4
517,4
518,4
519,4
520,4
525,4
528,4
536,4
539,4
540,4
543,4
545,4
549,4
550,4
554,4
555,4
556,4
557,4
562,4
563,4
564,4
566,4
567,4
572,4
576,4
596,4
619,4
625,4
626,4
645,4
652,4
658,4
661,4
666,4
676,4
701,4
702,4
718,4
721,4
725,4
726,4
732,4
747,4
751,4
754,4
764,4
786,4
791,4
805,4
811,4
817,4
823,4
837,4
855,4
871,4
880,4
888,4
890,4
902,4
906,4
910,4
944,4
948,4
949,4
958,4
959,4
890,4
987,4
1008,4
1011,4
1013,4
1022,4
1031,4
1040,4
1049,4
1057,4
1063,4
1074,4
1079,4
1081,4
1086,4
1089,4
1102,4
1108,4
1118,4
1119,4
1129,4
1140,4
1145,4
1146,4
1149,4
1154,4
1155,4
1158,4
1159,4
1162,4
1163,4
1169,4
1172,4
1174,4
1180,4
1186,4
1193,4
1205,4
1207,4
1213,4
1287,4
1512,4
1516,4
1531,4
1532,4
1533,4
1551,4
1576,4
1602,4
1606,4
1628,4
1634,4
1644,4
1648,4
1664,4
1669,4
1678,4
1689,4
1700,4
1761,4
1765,4
1768,4
1790,4
1806,4
1843,4
1844,4
1860,4
1864,4
1865,4
1869,4
1872,4
1876,4
1890,4
1896,4
1912,4
1928,4
1932,4
1935,4
1941,4
1943,4
1946,4
1949,4
1956,4
1961,4
1975,4
1982,4
1995,4
2003,4
2010,4
2014,4
2030,4
2067,4
2081,4
2091,4
2095,4
2112,4
2113,4
2126,4
2131,4
2134,4
2140,4
2143,4
2151,4
2161,4
2164,4
2167,4
2168,4
2178,4
2184,4
2192,4
2203,4
2204,4
2210,4
2230,4
2236,4
2241,4
2243,4
2247,4
2256,4
2262,4
2272,4
2298,4
2320,4
2321,4
2325,4
2339,4
32,5
164,5
276,5
420,5
437,5
446,5
447,5
543,5
552,5
554,5
556,5
557,5
564,5
566,5
567,5
725,5
764,5
1145,5
1982,5
2067,5
2256,5
2321,5
32,6
72,6
107,6
164,6
212,6
213,6
214,6
244,6
261,6
270,6
276,6
293,6
295,6
298,6
299,6
300,6
301,6
311,6
340,6
347,6
399,6
401,6
404,6
405,6
407,6
420,6
430,6
438,6
446,6
447,6
464,6
481,6
517,6
518,6
532,6
543,6
545,6
552,6
554,6
555,6
556,6
557,6
558,6
559,6
560,6
564,6
566,6
567,6
575,6
626,6
627,6
661,6
666,6
691,6
699,6
700,6
701,6
719,6
725,6
764,6
787,6
799,6
823,6
828,6
871,6
959,6
960,6
890,6
974,6
1049,6
1053,6
1057,6
1118,6
1143,6
1145,6
1149,6
1154,6
1160,6
1169,6
1174,6
1207,6
1222,6
1447,6
1602,6
1610,6
1669,6
1674,6
1734,6
1787,6
1803,6
1836,6
1843,6
1848,6
1876,6
1890,6
1917,6
1946,6
1977,6
1982,6
1995,6
1997,6
2000,6
2054,6
2066,6
2067,6
2085,6
2111,6
2127,6
2151,6
2164,6
2167,6
2169,6
2194,6
2207,6
2210,6
2234,6
2256,6
2274,6
2282,6
2321,6
2333,6
2340,6
2341,6
6,7
32,7
33,7
93,7
164,7
206,7
212,7
213,7
223,7
244,7
300,7
336,7
364,7
398,7
400,7
430,7
464,7
481,7
501,7
518,7
556,7
557,7
564,7
566,7
567,7
599,7
624,7
627,7
1,7
666,7
725,7
732,7
744,7
779,7
787,7
793,7
794,7
817,7
823,7
855,7
906,7
908,7
935,7
951,7
959,7
890,7
1057,7
1069,7
1145,7
1149,7
1287,7
1419,7
1697,7
1702,7
1717,7
1734,7
1787,7
1848,7
1922,7
1946,7
1948,7
1975,7
1982,7
2093,7
2112,7
2116,7
2132,7
2141,7
2151,7
2167,7
2184,7
2185,7
2201,7
2256,7
2321,7
2340,7
6,8
10,8
11,8
25,8
31,8
32,8
35,8
44,8
74,8
91,8
92,8
102,8
112,8
115,8
131,8
145,8
147,8
151,8
158,8
164,8
166,8
188,8
189,8
198,8
206,8
209,8
212,8
213,8
216,8
220,8
231,8
243,8
244,8
259,8
270,8
276,8
280,8
287,8
299,8
300,8
302,8
305,8
307,8
336,8
340,8
364,8
385,8
394,8
395,8
396,8
403,8
404,8
420,8
430,8
432,8
437,8
438,8
446,8
447,8
460,8
462,8
464,8
468,8
481,8
517,8
518,8
536,8
545,8
550,8
552,8
556,8
557,8
564,8
565,8
566,8
567,8
572,8
604,8
610,8
612,8
624,8
627,8
646,8
652,8
657,8
658,8
666,8
689,8
709,8
710,8
712,8
716,8
718,8
725,8
734,8
751,8
757,8
786,8
787,8
789,8
793,8
805,8
806,8
807,8
811,8
817,8
819,8
823,8
829,8
837,8
841,8
842,8
844,8
845,8
855,8
888,8
890,8
900,8
910,8
935,8
942,8
960,8
890,8
975,8
980,8
1013,8
